libelle_region,Classe_DPE,Nombre_logements
Provence-Alpes-Côte d'Azur,A,22.0
Provence-Alpes-Côte d'Azur,A,1.0
Pays de la Loire,A,2.0
Pays de la Loire,A,24.0
Pays de la Loire,A,1.0
Pays de la Loire,A,1.0
Nouvelle-Aquitaine,A,1.0
Nouvelle-Aquitaine,A,1.0
Nouvelle-Aquitaine,A,2.0
Nouvelle-Aquitaine,A,1.0
Nouvelle-Aquitaine,A,9.0
Grand Est,A,1.0
Grand Est,A,2.0
Grand Est,A,3.0
Bourgogne-Franche-Comté,A,1.0
Île-de-France,A,2.0
Île-de-France,A,1.0
Île-de-France,A,1.0
Île-de-France,A,1.0
Île-de-France,A,0.0
Île-de-France,A,4.0
Île-de-France,A,1.0
Île-de-France,A,1.0
Auvergne-Rhône-Alpes,B,6.0
Auvergne-Rhône-Alpes,B,0.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,2.0
Auvergne-Rhône-Alpes,B,0.0
Auvergne-Rhône-Alpes,B,0.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,5.0
Auvergne-Rhône-Alpes,B,1.0
Provence-Alpes-Côte d'Azur,B,4.0
Provence-Alpes-Côte d'Azur,B,29.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,259.0
Provence-Alpes-Côte d'Azur,B,134.0
Provence-Alpes-Côte d'Azur,B,45.0
Provence-Alpes-Côte d'Azur,B,0.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,2.0
Provence-Alpes-Côte d'Azur,B,0.0
Auvergne-Rhône-Alpes,B,1.0
Grand Est,B,3.0
Occitanie,B,0.0
Occitanie,B,1.0
Grand Est,B,1.0
Grand Est,B,1.0
Occitanie,B,1.0
Occitanie,B,4.0
Occitanie,B,5.0
Occitanie,B,1.0
Occitanie,B,4.0
Provence-Alpes-Côte d'Azur,B,0.0
Provence-Alpes-Côte d'Azur,B,0.0
Provence-Alpes-Côte d'Azur,B,0.0
Provence-Alpes-Côte d'Azur,B,23.0
Provence-Alpes-Côte d'Azur,B,2.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,0.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,0.0
Provence-Alpes-Côte d'Azur,B,0.0
Provence-Alpes-Côte d'Azur,B,4.0
Provence-Alpes-Côte d'Azur,B,6.0
Provence-Alpes-Côte d'Azur,B,1.0
Normandie,B,2.0
Normandie,B,1.0
Normandie,B,1.0
Normandie,B,1.0
Auvergne-Rhône-Alpes,B,1.0
Nouvelle-Aquitaine,B,5.0
Nouvelle-Aquitaine,B,1.0
Nouvelle-Aquitaine,B,1.0
Nouvelle-Aquitaine,B,7.0
Nouvelle-Aquitaine,B,7.0
Nouvelle-Aquitaine,B,1.0
Nouvelle-Aquitaine,B,7.0
Nouvelle-Aquitaine,B,57.0
Centre-Val de Loire,B,5.0
Bourgogne-Franche-Comté,B,4.0
Bourgogne-Franche-Comté,B,0.0
Bourgogne-Franche-Comté,B,9.0
Bourgogne-Franche-Comté,B,2.0
Bourgogne-Franche-Comté,B,1.0
Bourgogne-Franche-Comté,B,1.0
Bourgogne-Franche-Comté,B,2.0
Bretagne,B,2.0
Bretagne,B,1.0
Bretagne,B,1.0
Bretagne,B,6.0
Bretagne,B,1.0
Bourgogne-Franche-Comté,B,1.0
Bourgogne-Franche-Comté,B,1.0
Auvergne-Rhône-Alpes,B,2.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,19.0
Normandie,B,0.0
Normandie,B,3.0
Normandie,B,1.0
Centre-Val de Loire,B,6.0
Centre-Val de Loire,B,4.0
Centre-Val de Loire,B,70.0
Centre-Val de Loire,B,1.0
Centre-Val de Loire,B,4.0
Centre-Val de Loire,B,1.0
Bretagne,B,0.0
Bretagne,B,0.0
Bretagne,B,3.0
Bretagne,B,0.0
Bretagne,B,0.0
Corse,B,2.0
Corse,B,4.0
Corse,B,0.0
Corse,B,0.0
Corse,B,0.0
Occitanie,B,0.0
Occitanie,B,12.0
Occitanie,B,0.0
Occitanie,B,1.0
Occitanie,B,10.0
Occitanie,B,1.0
Occitanie,B,1.0
Occitanie,B,1.0
Occitanie,B,2.0
Nouvelle-Aquitaine,B,2.0
Nouvelle-Aquitaine,B,1.0
